Task {0} does not belong to Project {1},Vorgang {0} gehört nicht zu Projekt {1},
Reminder: You have unsubmitted Time Captures,Erinnerung: Sie haben ungebuchte Zeiterfassungen,
"The following Time Captures are still in draft status:","Die folgenden Zeiterfassungen sind noch im Entwurfsstatus:",
"Go to list view","Zur Listenansicht",
"Please review and submit the pending Time Captures.","Bitte überprüfen und buchen Sie die ausstehenden Zeiterfassungen."
"If enabled, Employees with draft Time Captures are reminded weekly to submit these.","Wenn aktiviert, werden Mitarbeiter mit Entwürfen wöchentlich daran erinnert, diese einzureichen.",
Used for Employees without linked User (=Email Address),Verwendet für Mitarbeiter ohne verknüpften Nutzer (=E-Mail-Adresse),
Paid Leave Type,Urlaubstyp Bezahlt,
Sick Leave Type,Urlaubstyp Krankheit,
Mandatory Breaks (Minors),Verpflichtende Pausen (Minderjährige),
Submit Timesheets immediately,Stundenzettel sofort buchen,
"If enabled, Timesheets are submitted along with the Time Capture. Otherwise, Timesheets are saved as Drafts.","Wenn aktiviert, werden Stundenzettel zusammen mit der Zeiterfassung gebucht. Andernfalls werden Stundenzettel als Entwürfe gespeichert.",
Time Capture,Zeiterfassung,
Indicated Break,Angegebene Pause,
Working Time,Arbeitszeit,
Project Time,Projektzeit,
Mandatory Break,Verpflichtende Pause,
Break,Pause,
Default Activity Type,Default-Aktivitätstyp,
Enforce Mandatory Breaks,Verpflichtende Pausen erzwingen,
Mandatory Breaks,Verpflichtende Pausen,
Working Time (Greater Than),Arbeitszeit (Größer als),
Additional Break,Zusätzliche Pause,
Working time must be completely booked on projects and tasks.,Die Arbeitszeit muss vollständig auf Projekte und Aufgaben gebucht werden.,
Project time cannot be greater than working time.,Die Projektzeit darf nicht größer sein als die Arbeitszeit.,
Note must be at least 15 characters. Found: {0},Die Notiz muss mindestens 15 Zeichen lang sein. Gefunden: {0},
"Note: Use the date/time picker that appears instead of manually typing or pasting values.","Tipp: Geben Sie die Zeiten nicht direkt oder per Kopieren und Einfügen ein. Verwenden Sie stattdessen die unterstützte Dateneingabe, die angezeigt wird.",
Indicated Break is not in the proper format.,Angegebene Pause ist nicht im korrekten Format.,
Row {0}: Duration is not in the proper format.,Zeile {0}: Dauer ist nicht im korrekten Format.,
Timesheet,Stundenzettel,
Time Capture already exists for this date and employee.,Zeiterfassung existiert bereits für dieses Datum und diesen Mitarbeiter.,
Time Sheet,Stundenzettel,
Time Sheets,Stundenzettel,
Error creating freelancer user: {0},Fehler beim Erstellen des Freelancer-Benutzers: {0},
Create Freelancer User,Freelancer-Benutzer erstellen,
"Please, set all fields.","Bitte füllen Sie alle Felder aus.",
Creating Freelancer User,Freelancer-Benutzer wird erstellt,
Please wait...,Bitte warten...,
Update Attendances,Anwesenheiten aktualisieren,
"Update all Attendances with Expected Working Hours table. Only for System Manager.","Aktualisiere alle Anwesenheiten mit der Tabelle erwarteter Arbeitsstunden. Nur für System Manager.",
"Only System Manager are allowed to update Attendances with Expected Working Hours.","Nur System Manager sind berechtigt, Attendances mit erwarteten Arbeitsstunden zu aktualisieren.",
{0} Attendances updated successfully.,{0} Attendances erfolgreich aktualisiert.,
Notification day of the month has to be between 1 and 28,Der Benachrichtigungstag des Monats muss zwischen 1 und 28 liegen,
Residual Budget: {0},Restbudget: {0},
Timesheets,Stundenzettel,
Default Freelancer Activity Type,Standard-Freelancer-Aktivitätstyp,
"General Suggestion: Use an <b>Activity Type</b> with <i>Costing Rate</i> = 0, and assign the <b>Purchase Invoice</b> from the Freelancer to the respective projects.","Allgemeiner Vorschlag: Verwenden Sie einen <b>Aktivitätstyp</b> mit <i>Kostensatz</i> = 0 und weisen Sie die <b>Eingangsrechnung</b> vom Freelancer den jeweiligen Projekten zu.",
Enable Reminders,Erinnerungen aktivieren,
"If enabled, Employees with draft Time Captures are reminded to submit these.","Wenn aktiviert, werden Mitarbeiter mit Entwürfen daran erinnert, diese einzureichen.",
Standard Email Recipient,Standard-E-Mail-Empfänger,
Notifications,Benachrichtigungen,
Notification Frequency,Benachrichtigungshäufigkeit,
Daily,Täglich,
Weekly,Wöchentlich,
Monthly,Monatlich,
Every X Days,Alle X Tage,
Notification Weekday,Benachrichtigungswochentag,
Monday,Montag,
Tuesday,Dienstag,
Wednesday,Mittwoch,
Thursday,Donnerstag,
Friday,Freitag,
Saturday,Samstag,
Sunday,Sonntag,
Notification Day of The Month,Benachrichtigungstag des Monats,
"Choose a regular (from 1 to 28) for monthly notifications. If empty, the last day of the month will be used.","Wählen Sie einen regulären Tag (von 1 bis 28) für monatliche Benachrichtigungen. Wenn leer, wird der letzte Tag des Monats verwendet.",
Last Notification (Sent On),Letzte Benachrichtigung (gesendet am),
Notification Interval (in Days),Benachrichtigungsintervall (in Tagen),
"Example: If you set this field to '3', the system sends Notifications every 3 days.","Beispiel: Wenn Sie dieses Feld auf '3' setzen, sendet das System alle 3 Tage Benachrichtigungen.",
Leaves,Urlaub,
"Only send reminders for draft Time Captures that are older than this number of days. Set to 0 to include all drafts regardless of date.","Nur Erinnerungen für Entwürfe senden, die älter sind als diese Anzahl von Tagen. Setzen Sie auf 0, um alle Entwürfe unabhängig vom Datum zu senden.",
Minimum Draft Age (Days),Mindestalter für Entwürfe (Tage),
